Fecha,Índice,Combinación lineal óptima CORR
01/08/2012,181.46826,3.6375925540924072
01/09/2012,182.04376,3.7359678745269775
01/10/2012,182.50996,3.7084708213806152
01/11/2012,182.94777,3.712125778198242
01/12/2012,183.74405,3.7881274223327637
01/01/2013,184.38335,3.867471933364868
01/02/2013,185.15828,3.976162910461426
01/03/2013,185.67967,3.9069371223449707
01/04/2013,186.14375,3.897735595703125
01/05/2013,186.6023,3.861778497695923
01/06/2013,187.18411,3.856313705444336
01/07/2013,187.5727,3.768423080444336
01/08/2013,187.74399,3.4583144187927246
01/09/2013,188.02676,3.2865707874298096
01/10/2013,188.4046,3.229759693145752
01/11/2013,188.84636,3.2241973876953125
01/12/2013,189.41338,3.0854508876800537
01/01/2014,189.79953,2.937465190887451
01/02/2014,190.20924,2.7279093265533447
01/03/2014,190.7426,2.7266931533813477
01/04/2014,191.15157,2.6902916431427
01/05/2014,191.53438,2.643092632293701
01/06/2014,191.95819,2.5504684448242188
01/07/2014,192.3898,2.568124532699585
01/08/2014,192.82156,2.7045254707336426
01/09/2014,193.139,2.7188913822174072
01/10/2014,193.44278,2.6741247177124023
01/11/2014,193.7284,2.585184097290039
01/12/2014,194.27606,2.567232370376587
01/01/2015,194.57954,2.5184507369995117
01/02/2015,195.06691,2.553858518600464
01/03/2015,195.41647,2.450361728668213
01/04/2015,195.77606,2.419276237487793
01/05/2015,196.10385,2.385723829269409
01/06/2015,196.57808,2.4067113399505615
01/07/2015,197.03574,2.414857864379883
01/08/2015,197.40558,2.3773319721221924
01/09/2015,197.69849,2.3607194423675537
01/10/2015,198.1083,2.4118411540985107
01/11/2015,198.413,2.4181275367736816
01/12/2015,198.98189,2.4222402572631836
01/01/2016,199.32523,2.438938856124878
01/02/2016,199.67221,2.3608832359313965
01/03/2016,200.12796,2.4109957218170166
01/04/2016,200.4662,2.3956613540649414
01/05/2016,200.90894,2.4502696990966797
01/06/2016,201.2912,2.3975861072540283
01/07/2016,201.75906,2.3971962928771973
01/08/2016,202.04893,2.3521947860717773
01/09/2016,202.26648,2.3105854988098145
01/10/2016,202.72296,2.329359769821167
01/11/2016,203.04948,2.3367879390716553
01/12/2016,203.6356,2.338768482208252
01/01/2017,204.15506,2.4230899810791016
01/02/2017,204.52403,2.4298853874206543
01/03/2017,204.83728,2.3531534671783447
01/04/2017,205.11401,2.3185007572174072
01/05/2017,205.42477,2.2476983070373535
01/06/2017,205.73236,2.2063417434692383
01/07/2017,206.11685,2.1598927974700928
01/08/2017,206.25911,2.0837481021881104
01/09/2017,206.47562,2.0809855461120605
01/10/2017,206.92546,2.0730209350585938
01/11/2017,207.33026,2.10823917388916
01/12/2017,207.98825,2.1374664306640625
01/01/2018,208.30394,2.032219886779785
01/02/2018,208.6574,2.020965099334717
01/03/2018,209.05606,2.0595767498016357
01/04/2018,209.41258,2.0957045555114746
01/05/2018,209.7435,2.1023406982421875
01/06/2018,210.29677,2.2186155319213867
01/07/2018,210.82796,2.2856452465057373
01/08/2018,211.18138,2.386446475982666
01/09/2018,211.43471,2.40177583694458
01/10/2018,211.72298,2.318472385406494
01/11/2018,212.02847,2.266045093536377
01/12/2018,212.52985,2.1835756301879883
01/01/2019,212.68669,2.104022979736328
01/02/2019,212.97185,2.0677177906036377
01/03/2019,213.35733,2.0574731826782227
01/04/2019,213.6858,2.0405824184417725
01/05/2019,214.05537,2.0557851791381836
01/06/2019,214.62167,2.0565719604492188
01/07/2019,215.02567,1.9910609722137451
01/08/2019,215.18945,1.8979288339614868
01/09/2019,215.35602,1.8546185493469238
01/10/2019,215.69722,1.877096176147461
01/11/2019,216.05847,1.9006807804107666
01/12/2019,216.62193,1.9254149198532104
01/01/2020,216.88834,1.9755085706710815
01/02/2020,217.07478,1.9265216588974
01/03/2020,217.42644,1.9071760177612305
01/04/2020,217.91747,1.9803204536437988
01/05/2020,218.21126,1.9415074586868286
01/06/2020,218.59808,1.852750301361084
01/07/2020,218.90225,1.8028545379638672
01/08/2020,219.17976,1.8543238639831543
01/09/2020,219.65166,1.9946730136871338
01/10/2020,220.33447,2.149888753890991
01/11/2020,220.747,2.1700236797332764
01/12/2020,221.40945,2.210085391998291
01/01/2021,221.81859,2.2731831073760986
01/02/2021,222.29594,2.4052398204803467
01/03/2021,222.84425,2.49179744720459
01/04/2021,223.19035,2.4196770191192627
01/05/2021,223.55211,2.4475600719451904
01/06/2021,223.83644,2.39634370803833
01/07/2021,224.25046,2.443197250366211
01/08/2021,224.75783,2.5449798107147217
01/09/2021,225.13571,2.496701717376709
01/10/2021,225.77657,2.469926118850708
01/11/2021,226.62366,2.662169933319092
01/12/2021,227.76338,2.869760036468506
01/01/2022,228.47449,3.0005998611450195
